uniqueid,time,game,firstPlayer,choice1,rangeProb1,judgements1,choice2,rangeProb2,judgements2
1,261673.0,singleControl0,column,A,85,Maria wanted it to be even.,A,73,He wanted to be fair and have the money come out evenly too.
1,322513.0,singleControl1,row,A,61,money is even,B,42,"Jack  gets more.
"
1,377884.0,pd3,column,B,39,Megan gets all of the money.,B,58,Money is even.
1,417786.0,pd0,column,A,62,Money is even.,A,58,Money even.
1,476683.0,threat1,column,B,45,He gets more.,A,63,Letting him get more than him.
1,519798.0,threat0,column,A,57,Gives Olivia more.,A,44,Olivia got  more.
1,580063.0,threat3,column,B,48,Sally got more.,B,55,He gave all of the money to Sally.
1,639470.0,disjunctive0,row,A,62,Even money,A,60,money even
1,662122.0,disjunctive3,row,B,59,money even,B,55,neither got money
1,736207.0,coordination0,column,A,63,money even,A,59,money even
1,764567.0,coordination1,column,B,57,money even which is none,A,51,money even which is none
2,37374.0,pd0,row,A,79,equal pay,A,83,equal pay
2,77094.0,pd3,row,B,21,he takes it all,B,71,equal pay out
2,128613.0,threat3,row,B,21,he took it all,B,18,he took it all
2,164843.0,threat0,column,A,41,unequal pay,A,61,she wanted to give her more
2,220955.0,threat1,column,B,49,uneven pay out,A,47,It was better than choosing $0
2,249870.0,disjunctive0,column,A,47,both options give the same pay,A,10,both options give the same pay
2,300142.0,disjunctive3,column,B,49,better than choosing $0 across the board,B,9,they both chose $0
2,333801.0,coordination1,column,B,73,even pay in positive.,A,17,he didnt want jack to have any
2,380679.0,coordination0,column,A,67,even pay out,A,47,better than not getting anything.
2,455503.0,singleControl0,row,A,68,even pay out and better than 0,A,70,even pay out 
2,491996.0,singleControl1,column,B,26,he doesnt want her to have money,A,66,she wants him to have money over her.
3,66160.0,pd3,column,B,13,Kaylee did not trust Lauren,B,6,Lauren reciprocated Kaylee's selfishness
3,99605.0,pd0,column,A,100,Daniel is unselfish with Luke,A,100,Both were unselfish
3,138382.0,coordination0,row,A,50,Zoe's choice didn't matter,A,50,Jack only had one real choice
3,171315.0,coordination1,column,B,50,Gavin's choice is irrelevant,A,0,Sydney would rather Gavin have nothing than have something themself
3,204510.0,singleControl1,column,B,0,Rebecca screwed Robert for no reason,A,0,Robert has no real choice
3,233582.0,singleControl0,column,A,50,Megan picked the sensible option but lost nothing,A,50,William had no choice
3,282555.0,threat0,row,A,50,Emily is attempting to maximize payout,A,100,Matthew was selfless
3,323958.0,threat3,row,B,0,Geoff is minimizing payout,B,0,Jacob made the selfish choice
3,359933.0,threat1,row,A,50,Matt is maximizing payout,B,49,"Austin chooses selfishly, but it is expected behavior"
3,394053.0,disjunctive3,column,B,0,David gives Maria the option to spite him for no reason,B,0,Maria gives up payment to spite David
3,413801.0,disjunctive0,column,A,50,Ryan picks the sensible option,A,50,Olivia has no real choice
4,157439.0,pd0,column,A,69,I chose somewhat friend because he wanted the person to get money but at the same time value himself more,A,100,Both got equal pay
4,215766.0,pd3,row,B,29,Zoe decided to be selfish and not let that other person deserve anything,B,76,possibility since they got equal pay and care about one another
4,276513.0,singleControl0,column,A,85,Rebecca decided to give his friend the same value of money,A,92,I believe Rebecca value Ryan thus both of them deserve equal pay
4,340638.0,singleControl1,row,A,80,I said Lauren value Emily as a friend,B,21,Emily is one harsh person and consider Lauren an enemy thus Lauren didn't get anything
4,430482.0,threat0,column,A,82,I believe William care about Kaylee more thus letting her have a lot,A,81,Kaylee wanted William to have some instead of nothing just she care about him a bit
4,501222.0,threat1,column,B,31,I think Kate is selfish and wanted to give less to Robert,A,80,Kate decided to give Robert something thus she care about him
4,562983.0,threat3,column,B,66,I said Hannah wants to give Gerald a little bit since she value him,B,0,That Hannah doesn't have Gerald at all and wanted everything for herself
4,607265.0,disjunctive0,column,A,100,Megan want her and her friend to prosper thus she selected this choice,A,100,She believes Daniel deserves equal pay thus selecting this option
4,659505.0,disjunctive3,column,B,93,I think Matt chose this option because Olivia is a good friend.,B,0,To see Matt does this to Olivia means he hate her.
4,727024.0,coordination0,row,A,100,I believe Luke wants an equal share of profit for both him and his friend thus he chose this choice,A,100,They are definitely friend since they both got equal pay
4,786021.0,coordination1,column,B,100,I believe Matthew know what his friend want the most so he chose this choice,A,0,Matthew chose this so Sydney can feel suffering. Even though he is hurting himself
5,280162.0,disjunctive0,column,A,86,"It looks like they chose to benefit each other, because both got $12.",A,94,Both got $12 because they both chose A. Friends make sure each other benefit. 
5,435662.0,disjunctive3,row,B,81,"Looks like he likes Sally, because they both get $12 if he chooses B. ",B,30,"Looks like they're enemies, because Sally obviously doesn't like Gerald if she chose B. "
5,499185.0,pd3,row,B,15,"Jacob basically chose for William to get $0, so enemies. ",B,58,"Looks like William doesn't have any hard feelings towards Jacob, because he chose for him to at least get some money instead of $0."
5,554158.0,pd0,column,A,69,"He chose for them both to get something, so he must like her some. ",A,84,"She chose where they both got something, as well, so she must not dislike him much. 
"
5,641088.0,threat1,column,B,49,Not sure on this one.,A,52,"Not sure, this one's a guess. "
5,722477.0,threat0,row,A,40,"Maybe enemies, because they both get something for picking A, but Zoe does get more. ",A,67,He likes her or he wouldn't have picked A knowing he would have gotten less for it. 
5,799218.0,threat3,row,B,38,"Maybe enemies, otherwise, why risk getting $0?",B,14,"Enemies, because she chose to leave him $0 and take $6. "
5,846149.0,coordination0,row,A,49,"Looks like a toss up, it's all or nothing. ",A,49,"Again, a toss up. I'd pick $12 over nothing, even if it was an enemy I was playing with. "
5,918470.0,coordination1,row,A,49,Not sure. All or nothing again. ,B,1,"Enemies, otherwise he wouldn't have picked B knowing he'd get nothing even if she got nothing. "
5,1056989.0,singleControl1,column,B,19,"Both result in Daniel getting $6 and Sydney getting nothing, so looks like enemies. ",A,49,Maybe she likes him? I don't know.
5,1132102.0,singleControl0,column,A,74,"They both get money on option A, so I'd guess friends. ",A,92,"Matt could have gotten money without choosing option A, so friends."
7,115648.0,threat1,column,B,52,There is not enough information to judge this.,A,54,There is not enough information to judge this.
7,176399.0,threat3,row,B,34,This seems a spiteful choice.,B,47,There is not enough information to judge this.
7,185247.0,threat0,row,A,52,There is not enough information to judge this.,A,49,There is not enough information to judge this.
7,203496.0,disjunctive0,column,A,57,There is not enough information to judge this.,A,60,There is not enough information to judge this.
7,212127.0,disjunctive3,column,B,51,There is not enough information to judge this.,B,53,There is not enough information to judge this.
7,907984.0,singleControl0,row,A,52,There is not enough information to judge this.,A,57,There is not enough information to judge this.
7,931695.0,singleControl1,row,A,55,There is not enough information to judge this.,B,42,There is not enough information to judge this.
7,940336.0,pd3,column,B,48,There is not enough information to judge this.,B,52,There is not enough information to judge this.
7,951264.0,pd0,column,A,56,There is not enough information to judge this.,A,52,There is not enough information to judge this.
7,983768.0,coordination0,row,A,55,There is not enough information to judge this.,A,54,There is not enough information to judge this.
7,997847.0,coordination1,column,B,52,There is not enough information to judge this.,A,56,There is not enough information to judge this.
8,180982.0,threat0,row,A,47,"It's hard to they're friends, as if he was a true friend, as Robert seemed to choose his best option for getting at least $6",A,100,"Gerald had the opportunity to get $12, yet he chose to give Robert the $12 instead."
8,346317.0,threat3,row,B,7,"If they were friends, he would have chosen an option where they both get money.",B,0,It's even more obvious that they're enemies because William chose to give $0 to Austin
8,440574.0,threat1,row,A,82,Most likely friends because Sydney chose an option where they would both get money.,B,51,"Hard to say now, as if they were really good friends, then perhaps Lauren would have given the $12 to Sydney"
8,650661.0,coordination1,column,B,50,"Unable to tell if they are friends or enemies, as any choice that Hannah makes gives the same options, either get $12 or $0.",A,12,"Definitely not friends, because if they were, Jacob would have chosen to have both receive $12 instead of $0"
