game,firstPlayer,phase,rel_model,param_model
coordination0,column,rangeProb1,0.5,50
coordination1,column,rangeProb1,0.5,50
disjunctive0,column,rangeProb1,0.878748358,60
disjunctive3,column,rangeProb1,0.346262981,43
pd0,column,rangeProb1,0.998930904,83
pd3,column,rangeProb1,0.019561656,34
singleControl0,column,rangeProb1,0.985074706,73
singleControl1,column,rangeProb1,0.014925294,27
threat0,column,rangeProb1,0.997228891,86
threat1,column,rangeProb1,0.099471706,38
threat3,column,rangeProb1,0.099471706,38
coordination0,row,rangeProb1,0.5,50
coordination1,row,rangeProb1,0.5,50
disjunctive0,row,rangeProb1,0.878748358,60
disjunctive3,row,rangeProb1,0.346262981,43
pd0,row,rangeProb1,0.998930904,83
pd3,row,rangeProb1,0.019561656,34
singleControl0,row,rangeProb1,0.5,50
singleControl1,row,rangeProb1,0.5,50
threat0,row,rangeProb1,0.900528294,62
threat1,row,rangeProb1,0.900528294,62
threat3,row,rangeProb1,0.002771109,14
coordination0,column,rangeProb2,0.819121152,62
coordination1,column,rangeProb2,0.056656466,14
disjunctive0,column,rangeProb2,0.878748358,60
disjunctive3,column,rangeProb2,0.028875315,14
pd0,column,rangeProb2,0.999407406,85
pd3,column,rangeProb2,0.0099283,31
singleControl0,column,rangeProb2,0.985074706,73
singleControl1,column,rangeProb2,0.014925294,27
threat0,column,rangeProb2,0.998519328,87
threat1,column,rangeProb2,0.233694556,50
threat3,column,rangeProb2,0.055281988,15
coordination0,row,rangeProb2,0.819121152,62
coordination1,row,rangeProb2,0.056656466,14
disjunctive0,row,rangeProb2,0.878748358,60
disjunctive3,row,rangeProb2,0.028875315,12
pd0,row,rangeProb2,0.999407406,85
pd3,row,rangeProb2,0.0099283,31
singleControl0,row,rangeProb2,0.754105268,68
singleControl1,row,rangeProb2,0.245894732,32
threat0,row,rangeProb2,0.944718012,85
threat1,row,rangeProb2,0.766305444,50
threat3,row,rangeProb2,0.001480672,13
